gvkey_x,datadate_x,fyear,indfmt_x,consol_x,popsrc_x,datafmt_x,tic,conm,curcd_x,fyr,act,at,cogs,dltt,dp,intan,lct,lt,ni,oancf,ppegt,rect,revt,xopr,xsga,costat_x,gsector,gsubind,idbflag,sic,data_year,RESTATEMENT_NOTIFICATION_KEY,RESTATEMENT_TYPE_FKEY,RESTATEMENT_TYPE,FILE_DATE,COMPANY_FKEY,BEST_EDGAR_TICKER,fraud_year,is_fraud,ivao,ivst,rect_lag,revt_lag,cogs_lag,act_lag,ppegt_lag,ivst_lag,at_lag,dp_lag,xsga_lag,dltt_lag,lt_lag,ni_lag,oancf_lag,DSRI,GMI,AQI,SGI,DEPI,SGAI,LVGI,TATA,M_score,M_score_pred,A,C,D,E,z_score,bankruptcy_risk,new_z_score,B
1968,2010-12-31,2010,INDL,C,D,STD,BMI,BADGER METER INC,USD,12,97.337,215.864,165.351,0.0,8.459,43.332,32.679,47.481,28.662,18.396,143.954,40.429,276.634,224.092,58.741,A,45,45203010,D,3824,2010,,,,,,,,0,1.5,0.0,,,,,,,,,,,,,,,,,,,,,0.047557721528369706,,False,0.29953118630248676,1.0381165919282511,3.546323792674965,1.2815198458288553,7.380425561970468,Safe,6.321067915244947,0.13277804543601526
1968,2011-12-31,2011,INDL,C,D,STD,BMI,BADGER METER INC,USD,12,101.195,218.91,163.604,0.0,9.491,43.045,22.413,39.629,19.161,31.317,144.928,41.168,262.915,224.79,61.186,A,45,45203010,D,3824,2011,,,,,,,,0,1.5,0.0,40.429,276.634,165.351,97.337,143.954,0.0,215.864,8.459,58.741,0.0,47.481,28.662,18.396,1.0714131233113073,1.0649795734207335,1.0553485505526417,0.9504073974999458,0.9029958943405483,1.0959756840770276,0.8230152372203927,-0.05552966972728518,-2.631479095831352,False,0.35988305696404915,1.0268603535699603,4.523984960508718,1.2010186834772283,8.041751992247855,Safe,6.732216915792265,0.21845964094833495
1968,2012-12-31,2012,INDL,C,D,STD,BMI,BADGER METER INC,USD,12,121.374,290.453,185.36,0.0,12.054,94.281,94.08,119.206,28.032,34.802,152.76,45.584,319.66,263.137,77.777,A,45,45203010,D,3824,2012,,,,,,,,0,,0.0,41.168,262.915,163.604,101.195,144.928,0.0,218.91,9.491,61.186,0.0,39.629,19.161,31.317,0.910709217885239,0.8990715868423398,-0.4519671341315856,1.2158302112850161,0.8403769854633678,1.045505193715991,2.2671211907000526,-0.02330841822945537,-3.5591041536611527,False,0.0939704530509239,0.905953803197075,1.4365635957921576,1.100556716577209,5.430532387867132,Safe,4.805090973607504,0.2611610140022655
1968,2013-12-31,2013,INDL,C,D,STD,BMI,BADGER METER INC,USD,12,127.163,316.058,203.639,0.0,13.494,102.012,98.041,119.495,24.617,34.818,164.138,50.133,334.122,281.071,77.432,A,45,45203010,D,3824,2013,,,,,,,,0,0.0,0.0,45.584,319.66,185.36,121.374,152.76,0.0,290.453,12.054,77.777,0.0,119.206,28.032,34.802,1.052190762794225,1.0758181245822962,1.394163001527835,1.0452418194331476,0.9627590001438653,0.9524726458960575,0.9212143558434968,-0.03227572154477975,-2.3137181784446725,False,0.09214131583443545,0.8893019635636498,1.6449474873425665,1.0571540666586514,5.5344360458292785,Safe,4.844297921397014,0.3178910200026578
1968,2014-12-31,2014,INDL,C,D,STD,BMI,BADGER METER INC,USD,12,141.105,341.158,217.962,0.0,15.664,109.394,107.075,126.827,29.678,35.735,177.4,53.967,364.768,298.457,80.495,A,45,45203010,D,3824,2014,,,,,,,,0,0.0,0.0,50.133,334.122,203.639,127.163,164.138,0.0,316.058,13.494,77.432,0.0,119.495,24.617,34.818,0.9860363444598015,0.9703352022106718,0.8476936622071823,1.0917209881420558,0.936306688108355,0.9522188363762278,0.9832709623611221,-0.01775423703972939,-2.5649342659005634,False,0.09974850362588591,0.8748351203841035,1.689947724065065,1.0692054707789351,5.623920914614207,Safe,4.8896035882833395,0.38149479126973423
1968,2015-12-31,2015,INDL,C,D,STD,BMI,BADGER METER INC,USD,12,149.328,355.48,223.429,0.0,18.493,110.326,104.544,123.205,25.938,35.831,194.069,56.643,377.698,309.436,86.007,A,45,45203010,D,3824,2015,,,,,,,,0,0.0,0.0,53.967,364.768,217.962,141.105,177.4,0.0,341.158,15.664,80.495,0.0,126.827,29.678,35.735,1.0136546506993034,0.9853558390401757,0.5119050792433246,1.0354471883498553,0.9325661180034526,1.031898405730124,0.9323028281293922,-0.02782997636997863,-2.7620622007696793,False,0.12598177112636436,0.8704737256667041,1.885272513290857,1.0625014065488916,5.832133464090188,Safe,5.0189915682185955,0.4390908067964442
1968,2016-12-31,2016,INDL,C,D,STD,BMI,BADGER METER INC,USD,12,151.012,349.699,223.27,0.0,19.915,104.486,75.838,93.49,32.295,56.185,200.978,59.818,393.761,323.081,99.811,A,45,45203010,D,3824,2016,,,,,,,,0,0.0,0.0,56.643,377.698,223.429,149.328,194.069,0.0,355.48,18.493,86.007,0.0,123.205,25.938,35.831,1.0129724345143054,0.9433334193922398,-0.19273966277933283,1.0425286869403598,0.9649912706244886,1.1131574397978703,0.7713608768328253,-0.06831589452643559,-3.210290710556729,False,0.21496772939013267,0.9238831109039488,2.7404963097657506,1.1259997883894435,6.831253710812052,Safe,5.755672186629315,0.5387004252228345
1968,2017-12-31,2017,INDL,C,D,STD,BMI,BADGER METER INC,USD,12,158.623,391.727,225.038,0.0,21.656,132.75,93.109,114.275,34.571,49.751,212.485,58.21,402.44,325.162,100.124,A,45,45203010,D,3824,2017,,,,,,,,0,0.0,0.0,59.818,393.761,223.27,151.012,200.978,0.0,349.699,19.915,99.811,0.0,93.49,32.295,56.185,0.9521322375084754,0.9822259129197851,-8.034398956416217,1.0220412890052595,0.9747597398045869,0.9815023499473143,1.0911813987763956,-0.03875147743198708,-6.3745149224875775,False,0.1672440245374968,0.8300729845019619,2.4279326186830015,1.0273481276501237,6.2208605905421415,Safe,5.226051483778017,0.5691565809862481
1968,2018-12-31,2018,INDL,C,D,STD,BMI,BADGER METER INC,USD,12,164.659,392.691,249.329,0.0,22.054,131.876,60.015,89.188,27.79,60.35,213.722,66.3,433.732,352.234,102.905,A,45,45203010,D,3824,2018,,,,,,,,0,0.0,0.0,58.21,402.44,225.038,158.623,212.485,0.0,391.727,21.656,100.124,0.0,114.275,34.571,49.751,1.056806813491766,1.0368378766543438,0.6923163589624635,1.0777556902892358,0.9888103399510338,0.9536257312934027,0.778552231640398,-0.08291506553498808,-2.7720900560279635,False,0.26647924194850403,0.8969749752349812,3.402957797013051,1.1045121991591353,7.320017877058835,Safe,6.05034510114079,0.638527493627305
1968,2019-12-31,2019,INDL,C,D,STD,BMI,BADGER METER INC,USD,12,200.094,421.893,239.228,,21.869,125.121,57.247,,47.177,80.714,209.825,61.365,424.625,340.608,101.38,A,45,45203010,D,3824,2019,,,,,,,,0,0.0,0.0,66.3,433.732,249.329,164.659,213.722,0.0,392.691,22.054,102.905,0.0,89.188,27.79,60.35,0.9454163639197217,0.973754269549243,0.778840000272107,0.9790031632436619,0.9909999612302531,1.0063098295087038,,-0.07949171946441397,,False,0.3385858499666977,0.8073326649174081,,1.006475575560628,,Grey,,0.706152981917216
